product_type,recommended_style,recommended_colors,recommended_typography,key_features,keywords
social-media,bold-expressive,coral-energy sunset-gradient,playful-rounded,Stories feed reactions messaging notifications,social instagram tiktok feed stories chat
fintech-banking,ios-native luxury-refined,electric-indigo obsidian-gold,modern-geometric,Secure login transactions cards biometrics,banking finance money transfer wallet crypto
health-fitness,minimal-ios organic-soft,forest-green stone-sage,humanist-warm,Progress tracking workouts health data charts,health fitness workout gym wellness tracker
e-commerce,material-you gradient-modern,warm-sunset candy-pop,modern-geometric,Product grid cart checkout reviews wishlist,shopping ecommerce store products cart buy
food-delivery,bold-expressive material-you,warm-sunset coral-energy,bold-impact,Restaurant list map tracking orders ratings,food delivery restaurant uber eats doordash
travel-booking,glassmorphism minimal-ios,ocean-breeze arctic-blue,elegant-serif,Search booking itinerary maps photos reviews,travel booking hotel flight airbnb vacation
meditation-wellness,organic-soft neumorphism,stone-sage ocean-breeze,humanist-warm,Timer sounds progress streaks,meditation calm wellness mindfulness sleep
music-streaming,dark-immersive glassmorphism,neon-night midnight-blue,tech-monospace,Player queue playlists artist pages,music spotify streaming audio player
news-reading,minimal-ios ios-native,ink-paper charcoal-minimal,classic-readable,Article list reading mode bookmarks,news reading articles medium blog
productivity-todo,minimal-ios ios-native,arctic-blue charcoal-minimal,modern-geometric,Task lists calendar reminders notes,productivity todo tasks calendar notes
gaming-casual,bold-expressive retro-pixel,candy-pop neon-night,playful-rounded,Levels rewards animations leaderboard,gaming casual mobile game fun
dating-social,gradient-modern bold-expressive,rose-gold coral-energy,playful-rounded,Profiles swipe matching chat,dating tinder social matching profiles
photography,dark-immersive minimal-ios,charcoal-minimal midnight-blue,swiss-clean,Gallery filters editing sharing,photo camera gallery editing instagram
education-learning,material-you organic-soft,electric-indigo forest-green,humanist-warm,Courses progress quizzes certificates,education learning courses duolingo study
kids-family,bold-expressive organic-soft,candy-pop coral-energy,playful-rounded,Large touch targets bright colors animations,kids children family parental
