name,category,primary,accent,background_light,background_dark,best_for,keywords
coral-energy,bold,#ff4757,#5352ed,#ffffff,#1a1a2e,Social apps lifestyle entertainment,social vibrant energetic fun playful
electric-indigo,bold,#6366f1,#06ffa5,#fafafe,#0f0f23,Fintech productivity professional,finance professional modern clean
sunset-gradient,bold,#f857a6|#ff5858,#5f27cd,#ffffff,#16162a,Creative apps photo video social,creative gradient instagram photo
ink-paper,minimal,#1a1a1a,#0066cc,#fffef9,#1a1a1a,Reading apps notes documentation,reading minimal clean simple
stone-sage,minimal,#5f705f,#d4a574,#faf9f7,#1c1f1c,Wellness meditation eco-friendly,wellness calm nature organic meditation
obsidian-gold,luxury,#d4952b,#1a1a1a,#fafafa,#0d0d0d,Banking luxury brands premium,banking premium luxury gold elegant
midnight-blue,luxury,#3374ff,#00d9ff,#f8fafc,#0a0f1a,Analytics dashboards data apps,analytics dashboard data professional
candy-pop,playful,#ff6b9d,#c44dff,#fff8fa,#1a1025,Games kids apps casual social,gaming kids fun colorful playful
neon-night,playful,#ff00ff,#00ffff,#1a1a2e,#0a0a14,Music apps nightlife gaming,music neon dark gaming nightclub
ocean-breeze,fresh,#0ea5e9,#14b8a6,#f0f9ff,#0c1929,Travel weather outdoor apps,travel fresh ocean weather nature
rose-gold,feminine,#f472b6,#fbbf24,#fff5f7,#1f1218,Beauty fashion lifestyle,beauty fashion feminine elegant rose
forest-green,nature,#22c55e,#84cc16,#f0fdf4,#0a1f0d,Health fitness nature apps,health fitness nature green organic
warm-sunset,warm,#f97316,#ef4444,#fffbeb,#1c1410,Food delivery restaurant apps,food warm restaurant delivery orange
arctic-blue,cool,#06b6d4,#8b5cf6,#ecfeff,#0a1a1f,Tech productivity startup,tech startup cool modern innovation
charcoal-minimal,dark,#404040,#fafafa,#ffffff,#171717,Professional portfolio minimal,professional dark minimal portfolio
